,Jurisdiction,Date,Cumulative Case Rate,Percent
43112,Venango,2020-04-11,11.8,0.17428292913478866
6836,Cameron,2020-04-11,22.5,0.33231914453667327
29238,Washington,2020-04-11,32.9,0.4859244380114023
13250,Cambria,2020-04-11,10.0,0.1476973975718548
13283,Susquehanna,2020-04-11,59.5,0.878799515552536
36712,Bucks,2020-04-11,184.0,2.7176321153221283
32673,Montour,2020-04-11,159.1,2.3498655953682097
13230,Snyder,2020-04-11,66.9,0.9880955897557088
45954,Franklin,2020-04-11,40.6,0.5996514341417305
42091,Allegheny,2020-04-11,71.0,1.0486515227601692
44808,Wayne,2020-04-11,107.1,1.581839127994565
38706,McKean,2020-04-11,9.8,0.1447434496204177
47764,Union,2020-04-11,33.4,0.493309307889995
6777,Indiana,2020-04-11,50.0,0.738486987859274
37180,Blair,2020-04-11,8.2,0.12111186600892092
35755,Beaver,2020-04-11,91.5,1.3514311877824714
32617,Centre,2020-04-11,43.1,0.6365757835346941
35241,Somerset,2020-04-12,17.7,0.24796514478642778
41310,Venango,2020-04-12,11.8,0.1653100965242852
7887,Philadelphia,2020-04-12,440.9,6.176713691318419
46606,Fayette,2020-04-12,44.9,0.629018926605119
6165,Northumberland,2020-04-12,48.4,0.6780515823538477
41894,Union,2020-04-12,35.6,0.49873215561564005
13225,Armstrong,2020-04-12,43.3,0.6066039982628431
8099,Elk,2020-04-12,10.0,0.14009330213922475
13227,Lycoming,2020-04-12,24.7,0.34603045628388507
46587,Luzerne,2020-04-12,455.6,6.382650845463079
41901,Erie,2020-04-12,15.6,0.21854555133719059
35160,Westmoreland,2020-04-12,65.3,0.9148092629691376
7884,Warren,2020-04-12,2.6,0.03642425855619843
35987,Blair,2020-04-12,9.0,0.12608397192530227
35279,Beaver,2020-04-12,93.9,1.3154761070873202
41699,Chester,2020-04-12,113.0,1.5830543141732396
13410,Cambria,2020-04-12,10.8,0.1513007663103627
41272,Clearfield,2020-04-12,12.6,0.17651756069542315
40127,Pike,2020-04-12,410.3,5.748028186772391
30876,Cumberland,2020-04-12,47.4,0.6640422521399253
